"Species","Block","Treatment","y.avg"
"ASAG","1","Biosolids",5.65
"ASAG","1","Control",3.25
"ASAG","2","Biosolids",0.8
"ASAG","2","Control",1.45
"ASAG","3","Biosolids",2.25
"ASAG","3","Control",8.2
"ASAG","4","Biosolids",2.2
"ASAG","4","Control",4.3
"HECO","1","Biosolids",28.3
"HECO","1","Control",23.65
"HECO","2","Biosolids",28.6
"HECO","2","Control",28.9
"HECO","3","Biosolids",49.05
"HECO","3","Control",43.35
"HECO","4","Biosolids",27.1
"HECO","4","Control",27.65
"KOMA","1","Biosolids",1.7
"KOMA","1","Control",3.85
"KOMA","2","Biosolids",4.85
"KOMA","2","Control",7.75
"KOMA","3","Biosolids",0.4
"KOMA","3","Control",5.65
"KOMA","4","Biosolids",0.75
"KOMA","4","Control",10.4
"LITT","1","Biosolids",93.7
"LITT","1","Control",30.3
"LITT","2","Biosolids",82.85
"LITT","2","Control",28.35
"LITT","3","Biosolids",92.35
"LITT","3","Control",46.3
"LITT","4","Biosolids",86.15
"LITT","4","Control",32.7
